,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
909,0,4,1,7,8,1,17,13,13,16,0
483,0,2,1,4,5,0,17,8,12,10,13
463,0,3,1,4,5,0,6,11,7,10,13
411,0,3,1,4,17,0,18,16,12,6,13
381,0,10,1,13,17,1,18,13,10,16,15
1120,1,3,1,3,10,0,20,17,16,19,6
1391,1,3,1,7,8,0,19,16,11,14,14
1402,1,2,1,5,3,0,14,0,0,0,0
434,0,3,1,4,12,0,19,7,0,14,15
290,0,2,1,3,4,1,8,3,0,5,8
944,0,4,1,14,0,0,0,0,0,0,0
357,0,3,1,3,10,0,20,12,8,12,11
1369,1,8,1,13,6,0,18,17,0,3,0
819,0,6,1,3,4,0,15,6,0,8,16
1455,1,6,1,3,14,0,0,0,0,0,0
1420,1,3,1,5,13,0,15,0,0,12,12
1479,1,2,1,7,8,0,7,3,10,16,15
733,0,2,1,7,8,1,20,12,11,8,14
717,0,3,1,4,11,0,4,6,5,6,10
237,1,2,0,4,8,0,0,0,0,0,15
982,0,4,1,4,13,0,17,0,0,12,10
1033,0,2,1,5,5,0,0,0,0,0,0
1094,1,3,1,3,11,0,6,4,3,15,11
1327,1,3,1,12,10,0,20,19,16,18,18
615,0,8,1,7,8,1,12,4,2,13,16
1196,1,14,1,3,15,1,12,13,9,12,14
1370,1,2,1,5,18,0,15,6,4,7,9
632,0,3,1,7,8,1,9,4,6,10,2
969,0,2,1,3,1,1,0,0,0,0,0
703,0,10,1,13,17,1,17,5,5,14,17
513,0,3,1,4,10,0,20,18,15,18,19
1102,1,3,1,5,14,0,18,6,10,12,14
481,0,3,1,4,8,0,16,17,14,14,17
693,0,2,1,3,14,0,19,7,6,10,11
644,0,3,1,12,10,0,19,13,13,19,11
1197,1,4,1,11,10,0,20,19,13,15,0
425,0,3,1,4,15,1,12,14,12,5,17
174,0,5,0,4,4,0,0,0,0,0,0
1526,1,3,1,4,7,0,0,0,0,0,0
1214,1,3,1,4,13,0,19,0,0,0,15
1167,1,4,1,4,1,0,15,0,0,5,7
1070,0,3,1,4,11,0,12,12,16,8,14
846,0,4,1,8,6,0,7,8,0,5,10
310,0,3,1,4,10,0,15,16,13,9,14
521,0,3,1,5,4,0,19,14,0,15,16
1450,1,2,1,7,8,0,19,16,9,16,7
527,0,3,1,4,10,0,20,19,9,18,17
1222,1,2,1,3,9,0,11,0,0,10,14
946,0,3,1,5,13,0,0,0,0,0,0
617,0,3,1,5,4,0,0,0,0,9,5
1252,1,6,1,3,13,0,14,0,0,11,13
987,0,3,1,4,10,0,18,16,9,18,18
1172,1,3,1,4,10,0,0,0,0,0,0
1220,1,3,1,5,17,0,15,9,4,9,12
1179,1,10,1,13,8,0,0,0,0,0,0
1527,1,2,1,4,5,0,17,15,6,10,14
797,0,3,1,4,5,0,14,6,5,10,11
1245,1,3,1,4,11,0,18,14,8,14,12
940,0,9,1,13,0,0,0,0,0,0,0
993,0,4,1,4,8,0,19,12,5,13,7
1266,1,5,1,3,18,1,11,0,0,9,0
705,0,2,1,5,11,0,15,10,7,14,12
642,0,3,1,5,17,0,19,7,5,6,13
927,0,8,1,14,5,0,13,8,1,12,8
1280,1,2,1,7,8,0,4,7,7,3,6
980,0,3,1,4,0,1,19,17,0,17,15
668,0,3,1,3,4,1,6,6,0,11,10
624,0,2,1,5,15,0,17,12,6,9,12
661,0,3,1,4,10,0,20,16,12,18,13
323,0,3,1,5,0,0,0,0,0,0,0
1445,1,2,1,4,8,0,15,0,4,10,0
1224,1,6,1,3,13,0,10,0,0,4,10
750,0,2,1,5,0,0,0,0,0,0,0
1321,1,3,1,10,10,0,17,17,13,18,6
868,0,4,1,4,12,0,15,6,0,11,16
